name,ID,dept_name,tot_cred
Sauer,65205,Accounting,128
Quaranta,36019,Astronomy,128
Juol,11682,Athletics,126
Vagn,14581,Biology,129
OMalley,99660,"Civil Eng.",128
Labaye,97551,"Civil Eng.",128
Qvi,66229,"Civil Eng.",128
Peterson,51923,"Civil Eng.",128
Kawakami,33645,"Comp. Sci.",129
Hird,72657,"Comp. Sci.",129
Yoneda,14214,Cybernetics,129
DAgostino,23525,"Elec. Eng.",128
Nisso,96117,English,128
Ende,26427,Finance,129
Gibbs,93004,Finance,129
Zamani,56080,Geology,127
Mercurio,20803,History,129
Cadis,71025,History,129
Tabor,75560,History,129
Ishikawa,17997,Languages,128
Conti,82301,Marketing,129
Alfaro,30124,Math,126
Barranco,61354,"Mech. Eng.",129
Kieras,10527,Physics,128
Ballew,70395,Physics,128
Rzecz,38476,"Pol. Sci.",129
Turunen,87831,Psychology,128
Roytman,61854,Psychology,128
Macias,39580,Psychology,128
Chien,15328,Statistics,129
